(0.189000) avg_accuracy=0.100000, f_measure:0.000000
(0.188900) avg_accuracy=0.100000, f_measure:0.000000
(0.188800) avg_accuracy=0.100000, f_measure:0.000000
(0.188700) avg_accuracy=0.100000, f_measure:0.000000
(0.188600) avg_accuracy=0.100000, f_measure:0.000000
(0.188500) avg_accuracy=0.100000, f_measure:0.000000
(0.188400) avg_accuracy=0.100000, f_measure:0.000000
(0.188300) avg_accuracy=0.100000, f_measure:0.000000
(0.188200) avg_accuracy=0.100000, f_measure:0.000000
(0.188100) avg_accuracy=0.100000, f_measure:0.000000
(0.188000) avg_accuracy=0.100000, f_measure:0.000000
(0.187900) avg_accuracy=0.100000, f_measure:0.000000
(0.187800) avg_accuracy=0.100000, f_measure:0.000000
(0.187700) avg_accuracy=0.100000, f_measure:0.000000
(0.187600) avg_accuracy=0.100000, f_measure:0.000000
(0.187500) avg_accuracy=0.100000, f_measure:0.000000
(0.187400) avg_accuracy=0.100000, f_measure:0.000000
(0.187300) avg_accuracy=0.100000, f_measure:0.000000
(0.187200) avg_accuracy=0.100000, f_measure:0.000000
(0.187100) avg_accuracy=0.100000, f_measure:0.000000
(0.187000) avg_accuracy=0.100000, f_measure:0.000000
(0.186900) avg_accuracy=0.100000, f_measure:0.000000
(0.186800) avg_accuracy=0.100000, f_measure:0.000000
(0.186700) avg_accuracy=0.100000, f_measure:0.000000
(0.186600) avg_accuracy=0.100000, f_measure:0.000000
(0.186500) avg_accuracy=0.100000, f_measure:0.000000
(0.186400) avg_accuracy=0.100000, f_measure:0.000000
(0.186300) avg_accuracy=0.100000, f_measure:0.000000
(0.186200) avg_accuracy=0.100000, f_measure:0.000000
(0.186100) avg_accuracy=0.100000, f_measure:0.000000
(0.186000) avg_accuracy=0.100000, f_measure:0.000000
(0.185900) avg_accuracy=0.100000, f_measure:0.000000
(0.185800) avg_accuracy=0.100000, f_measure:0.000000
(0.185700) avg_accuracy=0.100000, f_measure:0.000000
(0.185600) avg_accuracy=0.100000, f_measure:0.000000
(0.185500) avg_accuracy=0.100000, f_measure:0.000000
(0.185400) avg_accuracy=0.100000, f_measure:0.000000
(0.185300) avg_accuracy=0.100000, f_measure:0.000000
(0.185200) avg_accuracy=0.100000, f_measure:0.000000
(0.185100) avg_accuracy=0.100000, f_measure:0.000000
(0.185000) avg_accuracy=0.100000, f_measure:0.000000
(0.184900) avg_accuracy=0.100000, f_measure:0.000000
(0.184800) avg_accuracy=0.100000, f_measure:0.000000
(0.184700) avg_accuracy=0.100000, f_measure:0.000000
(0.184600) avg_accuracy=0.100000, f_measure:0.000000
(0.184500) avg_accuracy=0.100000, f_measure:0.000000
(0.184400) avg_accuracy=0.100000, f_measure:0.000000
(0.184300) avg_accuracy=0.100000, f_measure:0.000000
(0.184200) avg_accuracy=0.100000, f_measure:0.000000
(0.184100) avg_accuracy=0.100000, f_measure:0.000000
(0.184000) avg_accuracy=0.100000, f_measure:0.000000
(0.183900) avg_accuracy=0.100000, f_measure:0.000000
(0.183800) avg_accuracy=0.100000, f_measure:0.000000
(0.183700) avg_accuracy=0.100000, f_measure:0.000000
(0.183600) avg_accuracy=0.100000, f_measure:0.000000
(0.183500) avg_accuracy=0.100000, f_measure:0.000000
(0.183400) avg_accuracy=0.100000, f_measure:0.000000
(0.183300) avg_accuracy=0.100000, f_measure:0.000000
(0.183200) avg_accuracy=0.100000, f_measure:0.000000
(0.183100) avg_accuracy=0.100000, f_measure:0.000000
(0.183000) avg_accuracy=0.100000, f_measure:0.000000
(0.182900) avg_accuracy=0.100000, f_measure:0.000000
(0.182800) avg_accuracy=0.100000, f_measure:0.000000
(0.182700) avg_accuracy=0.100000, f_measure:0.000000
(0.182600) avg_accuracy=0.100000, f_measure:0.000000
(0.182500) avg_accuracy=0.100000, f_measure:0.000000
(0.182400) avg_accuracy=0.100000, f_measure:0.000000
(0.182300) avg_accuracy=0.100000, f_measure:0.000000
(0.182200) avg_accuracy=0.100000, f_measure:0.000000
(0.182100) avg_accuracy=0.100000, f_measure:0.000000
(0.182000) avg_accuracy=0.100000, f_measure:0.000000
(0.181900) avg_accuracy=0.100000, f_measure:0.000000
(0.181800) avg_accuracy=0.100000, f_measure:0.000000
(0.181700) avg_accuracy=0.100000, f_measure:0.000000
(0.181600) avg_accuracy=0.100000, f_measure:0.000000
(0.181500) avg_accuracy=0.100000, f_measure:0.000000
(0.181400) avg_accuracy=0.100000, f_measure:0.000000
(0.181300) avg_accuracy=0.100000, f_measure:0.000000
(0.181200) avg_accuracy=0.100000, f_measure:0.000000
(0.181100) avg_accuracy=0.100000, f_measure:0.000000
(0.181000) avg_accuracy=0.100000, f_measure:0.000000
(0.180900) avg_accuracy=0.100000, f_measure:0.000000
(0.180800) avg_accuracy=0.100000, f_measure:0.000000
(0.180700) avg_accuracy=0.100000, f_measure:0.000000
(0.180600) avg_accuracy=0.100000, f_measure:0.000000
(0.180500) avg_accuracy=0.100000, f_measure:0.000000
(0.180400) avg_accuracy=0.100000, f_measure:0.000000
(0.180300) avg_accuracy=0.100000, f_measure:0.000000
(0.180200) avg_accuracy=0.100000, f_measure:0.000000
(0.180100) avg_accuracy=0.100000, f_measure:0.000000
(0.180000) avg_accuracy=0.100000, f_measure:0.000000
(0.179900) avg_accuracy=0.100000, f_measure:0.000000
(0.179800) avg_accuracy=0.100000, f_measure:0.000000
(0.179700) avg_accuracy=0.100000, f_measure:0.000000
(0.179600) avg_accuracy=0.100000, f_measure:0.000000
(0.179500) avg_accuracy=0.100000, f_measure:0.000000
(0.179400) avg_accuracy=0.100000, f_measure:0.000000
(0.179300) avg_accuracy=0.100000, f_measure:0.000000
(0.179200) avg_accuracy=0.100000, f_measure:0.000000
(0.179100) avg_accuracy=0.100000, f_measure:0.000000
(0.179000) avg_accuracy=0.100000, f_measure:0.000000
(0.178900) avg_accuracy=0.100000, f_measure:0.000000
(0.178800) avg_accuracy=0.100000, f_measure:0.000000
(0.178700) avg_accuracy=0.100000, f_measure:0.000000
(0.178600) avg_accuracy=0.100000, f_measure:0.000000
(0.178500) avg_accuracy=0.100000, f_measure:0.000000
(0.178400) avg_accuracy=0.100000, f_measure:0.000000
(0.178300) avg_accuracy=0.100000, f_measure:0.000000
(0.178200) avg_accuracy=0.100000, f_measure:0.000000
(0.178100) avg_accuracy=0.100000, f_measure:0.000000
(0.178000) avg_accuracy=0.100000, f_measure:0.000000
(0.177900) avg_accuracy=0.100000, f_measure:0.000000
(0.177800) avg_accuracy=0.100000, f_measure:0.000000
(0.177700) avg_accuracy=0.100000, f_measure:0.000000
(0.177600) avg_accuracy=0.100000, f_measure:0.000000
(0.177500) avg_accuracy=0.100000, f_measure:0.000000
(0.177400) avg_accuracy=0.100000, f_measure:0.000000
(0.177300) avg_accuracy=0.100000, f_measure:0.000000
(0.177200) avg_accuracy=0.100000, f_measure:0.000000
(0.177100) avg_accuracy=0.100000, f_measure:0.000000
(0.177000) avg_accuracy=0.100000, f_measure:0.000000
(0.176900) avg_accuracy=0.100000, f_measure:0.000000
(0.176800) avg_accuracy=0.100000, f_measure:0.000000
(0.176700) avg_accuracy=0.100000, f_measure:0.000000
(0.176600) avg_accuracy=0.100000, f_measure:0.000000
(0.176500) avg_accuracy=0.100000, f_measure:0.000000
(0.176400) avg_accuracy=0.100000, f_measure:0.000000
(0.176300) avg_accuracy=0.100000, f_measure:0.000000
(0.176200) avg_accuracy=0.100000, f_measure:0.000000
(0.176100) avg_accuracy=0.100000, f_measure:0.000000
(0.176000) avg_accuracy=0.100000, f_measure:0.000000
(0.175900) avg_accuracy=0.100000, f_measure:0.000000
(0.175800) avg_accuracy=0.100000, f_measure:0.000000
(0.175700) avg_accuracy=0.100000, f_measure:0.000000
(0.175600) avg_accuracy=0.100000, f_measure:0.000000
(0.175500) avg_accuracy=0.100000, f_measure:0.000000
(0.175400) avg_accuracy=0.100000, f_measure:0.000000
(0.175300) avg_accuracy=0.100000, f_measure:0.000000
(0.175200) avg_accuracy=0.100000, f_measure:0.000000
(0.175100) avg_accuracy=0.100000, f_measure:0.000000
(0.175000) avg_accuracy=0.100000, f_measure:0.000000
(0.174900) avg_accuracy=0.100000, f_measure:0.000000
(0.174800) avg_accuracy=0.100000, f_measure:0.000000
(0.174700) avg_accuracy=0.100000, f_measure:0.000000
(0.174600) avg_accuracy=0.100000, f_measure:0.000000
(0.174500) avg_accuracy=0.100000, f_measure:0.000000
(0.174400) avg_accuracy=0.100000, f_measure:0.000000
(0.174300) avg_accuracy=0.100000, f_measure:0.000000
(0.174200) avg_accuracy=0.100000, f_measure:0.000000
(0.174100) avg_accuracy=0.100000, f_measure:0.000000
(0.174000) avg_accuracy=0.100000, f_measure:0.000000
(0.173900) avg_accuracy=0.100000, f_measure:0.000000
(0.173800) avg_accuracy=0.100000, f_measure:0.000000
(0.173700) avg_accuracy=0.100000, f_measure:0.000000
(0.173600) avg_accuracy=0.100000, f_measure:0.000000
(0.173500) avg_accuracy=0.100000, f_measure:0.000000
(0.173400) avg_accuracy=0.100000, f_measure:0.000000
(0.173300) avg_accuracy=0.100000, f_measure:0.000000
(0.173200) avg_accuracy=0.100000, f_measure:0.000000
(0.173100) avg_accuracy=0.100000, f_measure:0.000000
(0.173000) avg_accuracy=0.100000, f_measure:0.000000
(0.172900) avg_accuracy=0.100000, f_measure:0.000000
(0.172800) avg_accuracy=0.100000, f_measure:0.000000
(0.172700) avg_accuracy=0.100000, f_measure:0.000000
(0.172600) avg_accuracy=0.100000, f_measure:0.000000
(0.172500) avg_accuracy=0.100000, f_measure:0.000000
(0.172400) avg_accuracy=0.100000, f_measure:0.000000
(0.172300) avg_accuracy=0.100000, f_measure:0.000000
(0.172200) avg_accuracy=0.100000, f_measure:0.000000
(0.172100) avg_accuracy=0.100000, f_measure:0.000000
(0.172000) avg_accuracy=0.100000, f_measure:0.000000
(0.171900) avg_accuracy=0.100000, f_measure:0.000000
(0.171800) avg_accuracy=0.100000, f_measure:0.000000
(0.171700) avg_accuracy=0.100000, f_measure:0.000000
(0.171600) avg_accuracy=0.100000, f_measure:0.000000
(0.171500) avg_accuracy=0.100000, f_measure:0.000000
(0.171400) avg_accuracy=0.100000, f_measure:0.000000
(0.171300) avg_accuracy=0.100000, f_measure:0.000000
(0.171200) avg_accuracy=0.100000, f_measure:0.000000
(0.171100) avg_accuracy=0.100000, f_measure:0.000000
(0.171000) avg_accuracy=0.100000, f_measure:0.000000
(0.170900) avg_accuracy=0.100000, f_measure:0.000000
(0.170800) avg_accuracy=0.100000, f_measure:0.000000
(0.170700) avg_accuracy=0.100000, f_measure:0.000000
(0.170600) avg_accuracy=0.100000, f_measure:0.000000
(0.170500) avg_accuracy=0.180000, f_measure:0.193580
(0.170400) avg_accuracy=0.180000, f_measure:0.193580
(0.170300) avg_accuracy=0.180000, f_measure:0.193580
(0.170200) avg_accuracy=0.180000, f_measure:0.193580
(0.170100) avg_accuracy=0.180000, f_measure:0.193580
(0.170000) avg_accuracy=0.180000, f_measure:0.193580
(0.169900) avg_accuracy=0.180000, f_measure:0.193580
(0.169800) avg_accuracy=0.180000, f_measure:0.193580
(0.169700) avg_accuracy=0.180000, f_measure:0.193580
(0.169600) avg_accuracy=0.180000, f_measure:0.193580
(0.169500) avg_accuracy=0.180000, f_measure:0.193580
(0.169400) avg_accuracy=0.180000, f_measure:0.193580
(0.169300) avg_accuracy=0.180000, f_measure:0.193580
(0.169200) avg_accuracy=0.180000, f_measure:0.193580
(0.169100) avg_accuracy=0.180000, f_measure:0.193580
(0.169000) avg_accuracy=0.180000, f_measure:0.193580
(0.168900) avg_accuracy=0.180000, f_measure:0.193580
(0.168800) avg_accuracy=0.180000, f_measure:0.193580
(0.168700) avg_accuracy=0.180000, f_measure:0.193580
(0.168600) avg_accuracy=0.180000, f_measure:0.193580
(0.168500) avg_accuracy=0.180000, f_measure:0.193580
(0.168400) avg_accuracy=0.180000, f_measure:0.193580
(0.168300) avg_accuracy=0.180000, f_measure:0.193580
(0.168200) avg_accuracy=0.180000, f_measure:0.193580
(0.168100) avg_accuracy=0.180000, f_measure:0.193580
(0.168000) avg_accuracy=0.180000, f_measure:0.193580
(0.167900) avg_accuracy=0.180000, f_measure:0.193580
(0.167800) avg_accuracy=0.180000, f_measure:0.193580
(0.167700) avg_accuracy=0.180000, f_measure:0.193580
(0.167600) avg_accuracy=0.180000, f_measure:0.193580
(0.167500) avg_accuracy=0.180000, f_measure:0.193580
(0.167400) avg_accuracy=0.180000, f_measure:0.193580
(0.167300) avg_accuracy=0.180000, f_measure:0.193580
(0.167200) avg_accuracy=0.180000, f_measure:0.193580
(0.167100) avg_accuracy=0.180000, f_measure:0.193580
(0.167000) avg_accuracy=0.180000, f_measure:0.193580
(0.166900) avg_accuracy=0.180000, f_measure:0.193580
(0.166800) avg_accuracy=0.180000, f_measure:0.193580
(0.166700) avg_accuracy=0.180000, f_measure:0.193580
(0.166600) avg_accuracy=0.180000, f_measure:0.193580
(0.166500) avg_accuracy=0.180000, f_measure:0.193580
(0.166400) avg_accuracy=0.180000, f_measure:0.193580
(0.166300) avg_accuracy=0.180000, f_measure:0.193580
(0.166200) avg_accuracy=0.180000, f_measure:0.193580
(0.166100) avg_accuracy=0.180000, f_measure:0.193580
(0.166000) avg_accuracy=0.180000, f_measure:0.193580
(0.165900) avg_accuracy=0.180000, f_measure:0.193580
(0.165800) avg_accuracy=0.180000, f_measure:0.193580
(0.165700) avg_accuracy=0.180000, f_measure:0.193580
(0.165600) avg_accuracy=0.180000, f_measure:0.193580
(0.165500) avg_accuracy=0.180000, f_measure:0.193580
(0.165400) avg_accuracy=0.180000, f_measure:0.193580
(0.165300) avg_accuracy=0.180000, f_measure:0.193580
(0.165200) avg_accuracy=0.180000, f_measure:0.193580
(0.165100) avg_accuracy=0.180000, f_measure:0.193580
(0.165000) avg_accuracy=0.180000, f_measure:0.193580
(0.164900) avg_accuracy=0.180000, f_measure:0.193580
(0.164800) avg_accuracy=0.180000, f_measure:0.193580
(0.164700) avg_accuracy=0.180000, f_measure:0.193580
(0.164600) avg_accuracy=0.180000, f_measure:0.193580
(0.164500) avg_accuracy=0.180000, f_measure:0.193580
(0.164400) avg_accuracy=0.180000, f_measure:0.193580
(0.164300) avg_accuracy=0.180000, f_measure:0.193580
(0.164200) avg_accuracy=0.180000, f_measure:0.193580
