(0.145000) avg_accuracy=0.320000, f_measure:0.000000
(0.144500) avg_accuracy=0.320000, f_measure:0.000000
(0.144000) avg_accuracy=0.320000, f_measure:0.000000
(0.143500) avg_accuracy=0.320000, f_measure:0.000000
(0.143000) avg_accuracy=0.320000, f_measure:0.000000
(0.142500) avg_accuracy=0.320000, f_measure:0.000000
(0.142000) avg_accuracy=0.320000, f_measure:0.000000
(0.141500) avg_accuracy=0.320000, f_measure:0.000000
(0.141000) avg_accuracy=0.320000, f_measure:0.000000
(0.140500) avg_accuracy=0.320000, f_measure:0.000000
(0.140000) avg_accuracy=0.320000, f_measure:0.000000
(0.139500) avg_accuracy=0.320000, f_measure:0.000000
(0.139000) avg_accuracy=0.320000, f_measure:0.000000
(0.138500) avg_accuracy=0.320000, f_measure:0.000000
(0.138000) avg_accuracy=0.320000, f_measure:0.000000
(0.137500) avg_accuracy=0.320000, f_measure:0.000000
(0.137000) avg_accuracy=0.320000, f_measure:0.000000
(0.136500) avg_accuracy=0.320000, f_measure:0.000000
(0.136000) avg_accuracy=0.320000, f_measure:0.000000
(0.135500) avg_accuracy=0.320000, f_measure:0.000000
(0.135000) avg_accuracy=0.320000, f_measure:0.000000
(0.134500) avg_accuracy=0.320000, f_measure:0.000000
(0.134000) avg_accuracy=0.320000, f_measure:0.000000
(0.133500) avg_accuracy=0.320000, f_measure:0.000000
(0.133000) avg_accuracy=0.320000, f_measure:0.000000
(0.132500) avg_accuracy=0.320000, f_measure:0.000000
(0.132000) avg_accuracy=0.320000, f_measure:0.000000
(0.131500) avg_accuracy=0.320000, f_measure:0.000000
(0.131000) avg_accuracy=0.320000, f_measure:0.000000
(0.130500) avg_accuracy=0.320000, f_measure:0.000000
(0.130000) avg_accuracy=0.320000, f_measure:0.000000
(0.129500) avg_accuracy=0.320000, f_measure:0.000000
(0.129000) avg_accuracy=0.320000, f_measure:0.000000
(0.128500) avg_accuracy=0.320000, f_measure:0.000000
(0.128000) avg_accuracy=0.320000, f_measure:0.000000
(0.127500) avg_accuracy=0.320000, f_measure:0.000000
(0.127000) avg_accuracy=0.320000, f_measure:0.000000
(0.126500) avg_accuracy=0.320000, f_measure:0.000000
(0.126000) avg_accuracy=0.320000, f_measure:0.000000
(0.125500) avg_accuracy=0.320000, f_measure:0.000000
(0.125000) avg_accuracy=0.320000, f_measure:0.000000
(0.124500) avg_accuracy=0.320000, f_measure:0.000000
(0.124000) avg_accuracy=0.320000, f_measure:0.000000
(0.123500) avg_accuracy=0.320000, f_measure:0.000000
(0.123000) avg_accuracy=0.320000, f_measure:0.000000
(0.122500) avg_accuracy=0.320000, f_measure:0.000000
(0.122000) avg_accuracy=0.320000, f_measure:0.000000
(0.121500) avg_accuracy=0.320000, f_measure:0.000000
(0.121000) avg_accuracy=0.320000, f_measure:0.000000
(0.120500) avg_accuracy=0.320000, f_measure:0.000000
(0.120000) avg_accuracy=0.320000, f_measure:0.000000
(0.119500) avg_accuracy=0.320000, f_measure:0.000000
(0.119000) avg_accuracy=0.320000, f_measure:0.000000
(0.118500) avg_accuracy=0.320000, f_measure:0.000000
(0.118000) avg_accuracy=0.320000, f_measure:0.000000
(0.117500) avg_accuracy=0.320000, f_measure:0.000000
(0.117000) avg_accuracy=0.320000, f_measure:0.000000
(0.116500) avg_accuracy=0.320000, f_measure:0.000000
(0.116000) avg_accuracy=0.320000, f_measure:0.000000
(0.115500) avg_accuracy=0.320000, f_measure:0.000000
(0.115000) avg_accuracy=0.320000, f_measure:0.000000
(0.114500) avg_accuracy=0.320000, f_measure:0.000000
(0.114000) avg_accuracy=0.320000, f_measure:0.000000
(0.113500) avg_accuracy=0.320000, f_measure:0.000000
(0.113000) avg_accuracy=0.320000, f_measure:0.000000
(0.112500) avg_accuracy=0.320000, f_measure:0.000000
(0.112000) avg_accuracy=0.320000, f_measure:0.000000
(0.111500) avg_accuracy=0.320000, f_measure:0.000000
(0.111000) avg_accuracy=0.320000, f_measure:0.000000
(0.110500) avg_accuracy=0.320000, f_measure:0.000000
(0.110000) avg_accuracy=0.320000, f_measure:0.000000
(0.109500) avg_accuracy=0.320000, f_measure:0.000000
(0.109000) avg_accuracy=0.320000, f_measure:0.000000
(0.108500) avg_accuracy=0.320000, f_measure:0.000000
(0.108000) avg_accuracy=0.320000, f_measure:0.000000
(0.107500) avg_accuracy=0.320000, f_measure:0.000000
(0.107000) avg_accuracy=0.320000, f_measure:0.000000
(0.106500) avg_accuracy=0.320000, f_measure:0.000000
(0.106000) avg_accuracy=0.320000, f_measure:0.000000
(0.105500) avg_accuracy=0.320000, f_measure:0.000000
(0.105000) avg_accuracy=0.320000, f_measure:0.000000
(0.104500) avg_accuracy=0.320000, f_measure:0.000000
(0.104000) avg_accuracy=0.320000, f_measure:0.000000
(0.103500) avg_accuracy=0.320000, f_measure:0.000000
(0.103000) avg_accuracy=0.320000, f_measure:0.000000
(0.102500) avg_accuracy=0.320000, f_measure:0.000000
(0.102000) avg_accuracy=0.320000, f_measure:0.000000
(0.101500) avg_accuracy=0.320000, f_measure:0.000000
(0.101000) avg_accuracy=0.320000, f_measure:0.000000
(0.100500) avg_accuracy=0.320000, f_measure:0.000000
(0.100000) avg_accuracy=0.320000, f_measure:0.000000
(0.099500) avg_accuracy=0.320000, f_measure:0.000000
(0.099000) avg_accuracy=0.320000, f_measure:0.000000
(0.098500) avg_accuracy=0.320000, f_measure:0.000000
(0.098000) avg_accuracy=0.320000, f_measure:0.000000
(0.097500) avg_accuracy=0.320000, f_measure:0.000000
(0.097000) avg_accuracy=0.320000, f_measure:0.000000
(0.096500) avg_accuracy=0.320000, f_measure:0.000000
(0.096000) avg_accuracy=0.320000, f_measure:0.000000
(0.095500) avg_accuracy=0.320000, f_measure:0.000000
(0.095000) avg_accuracy=0.330000, f_measure:0.052552
(0.094500) avg_accuracy=0.330000, f_measure:0.052552
(0.094000) avg_accuracy=0.330000, f_measure:0.052552
(0.093500) avg_accuracy=0.330000, f_measure:0.052552
(0.093000) avg_accuracy=0.330000, f_measure:0.052552
(0.092500) avg_accuracy=0.330000, f_measure:0.052552
(0.092000) avg_accuracy=0.330000, f_measure:0.052552
(0.091500) avg_accuracy=0.330000, f_measure:0.052552
(0.091000) avg_accuracy=0.330000, f_measure:0.052552
(0.090500) avg_accuracy=0.330000, f_measure:0.052552
(0.090000) avg_accuracy=0.330000, f_measure:0.052552
(0.089500) avg_accuracy=0.330000, f_measure:0.052552
(0.089000) avg_accuracy=0.330000, f_measure:0.052552
(0.088500) avg_accuracy=0.330000, f_measure:0.052552
(0.088000) avg_accuracy=0.330000, f_measure:0.052552
(0.087500) avg_accuracy=0.330000, f_measure:0.052552
(0.087000) avg_accuracy=0.330000, f_measure:0.052552
(0.086500) avg_accuracy=0.330000, f_measure:0.052552
(0.086000) avg_accuracy=0.330000, f_measure:0.052552
(0.085500) avg_accuracy=0.330000, f_measure:0.052552
(0.085000) avg_accuracy=0.330000, f_measure:0.052552
(0.084500) avg_accuracy=0.330000, f_measure:0.052552
(0.084000) avg_accuracy=0.330000, f_measure:0.052552
(0.083500) avg_accuracy=0.330000, f_measure:0.052552
(0.083000) avg_accuracy=0.330000, f_measure:0.052552
(0.082500) avg_accuracy=0.330000, f_measure:0.052552
(0.082000) avg_accuracy=0.330000, f_measure:0.052552
(0.081500) avg_accuracy=0.330000, f_measure:0.052552
